Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
10-05-2021,India,171098918,135192013,35906905,,,,16727082,154371836,,70948079,64225501,18433
11-05-2021,India,173862643,136557345,37305298,,,,17081853,156780790,,71722365,64816275,18705
12-05-2021,India,176045577,137805245,38240332,,,,17459811,158585766,,72431855,65354414,18976
13-05-2021,India,178361846,139087590,39274256,,,,17840229,160521617,,73161834,65906538,19218
14-05-2021,India,179646413,139861462,39784951,,,,18087664,161558739,,73607113,66234957,19392
15-05-2021,India,181544536,141132112,40412424,,,,18535310,163009216,,74324379,66787921,19812
16-05-2021,India,182251006,141764335,40486671,,,,18695475,163555521,,74693401,67050966,19968
17-05-2021,India,183817204,143090218,40726986,,,,19077536,164739599,,75461311,67608590,20317
18-05-2021,India,185191602,144270200,40921402,,,,19407170,165784285,,76142110,68107465,20625
19-05-2021,India,186410600,145333606,41076994,,,,19669911,166740487,,76761977,68550747,20882
20-05-2021,India,187886885,146624652,41262233,,,,19986188,167900451,,77512357,69091006,21289
21-05-2021,India,189344105,147893976,41450129,,,,20301735,169042095,275,78248902,69623495,21579
22-05-2021,India,190936859,149302864,41633995,,,,20590582,170345955,322,79056922,70224054,21888
23-05-2021,India,191877460,150180408,41697052,,,,20680782,171196318,360,79574984,70583303,22121
24-05-2021,India,194313920,152439044,41874876,,,,20932868,173380665,387,80889623,71526736,22685
25-05-2021,India,196463495,154384464,42079031,,,,21222896,175240154,445,82032580,72328742,23142
26-05-2021,India,198425615,156189641,42235974,,,,21440904,176983511,1200,83084097,73082037,23507
27-05-2021,India,201438120,159006359,42431761,,,,21732409,179703057,2654,84683042,74299145,24172
28-05-2021,India,204617572,161951713,42665859,,,,22143306,182470401,3865,86374510,75552353,24850
29-05-2021,India,207796464,164804095,42992369,,,,22748715,185041368,6381,88027641,76750999,25455
30-05-2021,India,208907723,165823004,43084719,,,,22948962,185950671,8090,88619604,77177776,25624
31-05-2021,India,211778491,168393525,43384966,,,,23442881,188324712,10898,90095606,78271582,26337
01-06-2021,India,214314522,170640412,43674110,,,,23905095,190396381,13046,91381749,79231870,26793
02-06-2021,India,216858197,172945950,43912247,,,,24376613,192467399,14185,92705952,80212651,27347
03-06-2021,India,219831571,175677634,44153937,,,,25012565,194803940,15066,94288015,81361633,27986
04-06-2021,India,223642281,179205337,44436944,,,,25581498,198045267,15516,96289872,82885972,29493
05-06-2021,India,227162503,182451348,44711155,,,,26213604,200932620,16279,98143570,84277549,30229
06-06-2021,India,228624578,183824958,44799620,,,,26450908,202156935,16735,98907905,84886553,30500
07-06-2021,India,232063488,186933771,45129717,,,,27031124,205014564,17800,100656406,86246094,31271
08-06-2021,India,234952618,189503126,45449492,,,,27571289,207362449,18880,102100803,87370490,31833
09-06-2021,India,238440129,192669299,45770830,,,,28196184,210223401,20544,103888483,88748112,32704
10-06-2021,India,241846863,195747476,46099387,,,,28814428,213010415,22020,105607170,90106724,33582
11-06-2021,India,245411955,198977594,46434361,,,,29426682,215962153,23120,107385721,91557487,34386
12-06-2021,India,249033094,202207183,46825911,,,,29975845,219032482,24767,109174763,92997290,35130
13-06-2021,India,250656362,203705131,46951231,,,,30185294,220445754,25314,109979462,93690273,35396
14-06-2021,India,254653040,207274441,47378599,,,,30779165,223847280,26595,111868784,95369557,36100
15-06-2021,India,257605528,209816439,47789089,,,,31248316,226329536,27676,113266182,96513504,36753
16-06-2021,India,261118468,212945352,48173116,,,,31695663,229393676,29129,114978703,97929255,37394
17-06-2021,India,264537245,215944608,48592637,,,,32252129,232253523,31593,116630688,99275854,38066
18-06-2021,India,267951571,218956863,48994708,,,,32765846,235151645,34080,118293011,100624989,38863
19-06-2021,India,271833642,222316897,49516745,,,,33243363,238552905,37374,120139375,102137801,39721
20-06-2021,India,275018693,225211708,49806985,,,,33448885,241530408,39400,121366817,103804672,40219
21-06-2021,India,283891764,233288807,50602957,,,,34123378,249725103,43283,125704054,107542051,42702
22-06-2021,India,289961746,238685516,51276230,,,,34641890,255272448,47408,128567271,110074369,43876
23-06-2021,India,296892521,244944880,51947641,,,,35392947,261448717,50857,131919150,112980429,45301
24-06-2021,India,303426850,250656880,52769970,,,,36139047,267233899,53904,134941971,115668447,46462
25-06-2021,India,309802519,256135000,53667519,166996837,142754166,51516,37027773,272716628,58118,,,
26-06-2021,India,316535775,261705883,54829892,170558604,145924320,52851,37908285,278562444,65046,,,
27-06-2021,India,318473492,263289938,55183554,171570354,146849924,53214,38254587,280151800,67105,,,
28-06-2021,India,323836329,267485789,56350540,174328759,149453113,54457,39047840,284716017,72472,,,
29-06-2021,India,327685422,270392224,57293198,176271011,151359083,55328,39657631,287949744,78047,,,
30-06-2021,India,330553623,272487181,58066442,177750688,152746870,56065,40307832,290158311,87480,,,
01-07-2021,India,334913220,275842378,59070842,180022023,154834173,57024,40927453,293891479,94288,,,
02-07-2021,India,339447068,279132514,60314554,182375868,157013277,57923,41530884,297814896,101288,,,
03-07-2021,India,346054022,283527017,62527005,185856473,160138342,59207,42506166,303438000,109856,,,
04-07-2021,India,347766247,284750483,63015764,186748495,160958198,59554,42729197,304924760,112290,,,
05-07-2021,India,352412289,287588808,64823481,189175605,163176110,60574,43442864,308849054,120371,,,
06-07-2021,India,356192949,290132865,66060084,191160373,164971125,61451,44018800,312045416,128733,,,
07-07-2021,India,359728245,292326546,67401699,193027060,166638938,62247,44518708,315072183,137354,,,
08-07-2021,India,363866177,295113298,68752879,195194201,168608604,63372,45082427,318636397,147353,,,
09-07-2021,India,367079052,297184419,69894633,196883902,170130738,64412,45476306,321441373,161373,,,
10-07-2021,India,370921397,299620148,71301249,198911398,171944765,65234,46016442,324725183,179772,,,
11-07-2021,India,372249777,300474970,71774807,199593430,172590906,65441,46227004,325834486,188287,,,
12-07-2021,India,376350562,303057816,73292746,201700141,174584012,66409,46822284,329322624,205654,,,
13-07-2021,India,380212639,305477371,74735268,203712414,176432842,67383,47230844,332757295,224500,,,
14-07-2021,India,386288141,310042014,76246127,206783170,179436493,68478,47878858,338166245,243038,,,
